filename,jcId,titleFr,validityDate,depositDate,CLA type,CLA status,Sector,Theme,summary,parent_name,parent_comparison
200-2022-009993,2000000,Pension complémentaire pour les employés de l'industrie des briques,,2022-05-18T10:00:00.000+00:00,Concluded on industry level,New,"LA SELLERIE, DE LA FABRICATION DE COURROIES ET ...","['Salaire', 'Fin au contrat de travail et chômage', 'Primes et indemnités pour le travailleur actif']",", le plus grand nombre d'ouvriers (exprimé en ouvriers équivalents temps plein).

Cette convention collective de travail cadre du 12 mai 2022 a été conclue au sein de la commission paritaire auxiliaire pour employés pour l'activité d'entreprise des briques. Elle instaure une pension complémentaire pour les employeurs et employés des entreprises ressortissant à la commission paritaire auxiliaire pour employés qui sont actifs dans l'activité d'entreprise de l'industrie des briques, sauf s'ils sont exclus conformément à l'article 8. Cette convention collective de travail cadre prend en compte l'article 14 et suivants de la loi concernant les pensions complémentaires du 28 avril 2003, ainsi que plusieurs avis communs du Conseil national du travail. Elle définit ce qu'on entend par «employeurs actifs dans l'activité d'entreprise de l'industrie des briques» et «employés dans l'activité d'entreprise de l'industrie des briques». En outre, elle définit le critère de prédominance pour déterminer avec quels collègues-ouvriers les employés ressortissant de la cp 200 concernés se trouvent en miroir à des fins de la pension complémentaire.",,"

Les différences entre 0 et Series([], Name: summary, dtype: object) sont que 0 représente le plus grand nombre d'ouvriers, alors que Series([], Name: summary, dtype: object) représente un tableau vide."
200-2021-015135,2000000,Prime corona,2022-12-31T11:00:00.000+00:00,2021-12-21T11:00:00.000+00:00,Concluded on industry level,New,Sector not specified,['Primes et indemnités pour le travailleur actif'],"er août 2021 au 31 décembre 2022.

Cette convention collective de travail du 9 décembre 2021 conclue au sein de la commission paritaire auxiliaire pour employés modifie la convention collective de travail du 18 novembre 2021 conclue au sein de la commission paritaire auxiliaire pour employés et prise en exécution de l'arrêté royal du 21 juillet 2021. Elle prévoit l'octroi d'une prime corona sous format électronique ou papier selon les modalités prévues. Elle est conclue pour une durée déterminée du 1er août 2021 au 31 décembre 2022.",200-2021-013469,"

Les différences entre les deux conventions sont les suivantes : 1er août 2021 au 31 décembre 2022 couvre une période de plus d'un an et couvre des conditions de travail spécifiques, tandis que la convention collective de travail couvre des conditions générales applicables à tous les travailleurs."
200-2021-013476,2000000,Dispense de l'obligation de disponibilité adaptée 2023-2024,2024-12-31T11:00:00.000+00:00,2021-11-24T11:00:00.000+00:00,Concluded on industry level,New,"LA SELLERIE, DE LA FABRICATION DE COURROIES ET ...","[""Mesures pour l'emploi et groupes cibles"", ""Mesures pour l'emploi et groupes cibles"", 'Fin au contrat de travail et chômage', 'Primes et indemnités pour le travailleur actif']","

Cette convention collective de travail est conclue pour appliquer une dispense de l'obligation de disponibilité adaptée en exécution de l'accord social dans le cadre des négociations interprofessionnelles pour la période 2021-2022. Elle est applicable aux employeurs et aux employés des entreprises relevant de la compétence de la commission paritaire auxiliaire pour employés et elle est valable du 1er janvier 2023 au 31 décembre 2024. Elle détermine les conditions d'octroi de la dispense de l'obligation de disponibilité adaptée pour les travailleurs âgés licenciés avant le 1er juillet 2023 dans le cadre d'un régime de chômage avec complément d'entreprise, qui ont travaillé 20 ans dans un régime de travail de nuit, qui ont été occupés dans le cadre d'un métier lourd ou qui ont été occupés dans le secteur de la construction et sont en incapacité de travail, qui ont été occupés dans le cadre d'un métier lourd et justifient 35 ans de passé professionnel, ou qui ont une carrière longue, ou qui ont été occupés dans une entreprise en difficultés ou en restructuration.",,"

Les deux sont différentes."
200-2021-013464,2000000,Modification de la CCT concernant la prime de fin d'année,,2021-11-24T11:00:00.000+00:00,Concluded on industry level,New,Sector not specified,"['Fin au contrat de travail et chômage', 'Primes et indemnités pour le travailleur actif']",".

Cette convention collective de travail, conclue le 18 novembre 2021 par la Commission paritaire auxiliaire pour employés, modifie la convention collective du 9 juin 2016 concernant la prime de fin d'année. Elle remplace la deuxième condition relative à l'ancienneté dans l'article 3 de la convention collective du 9 juin 2016, exigeant une ancienneté d'au moins six mois, par une ancienneté incluant les périodes d'occupation intérimaire et chaque période d'inactivité de sept jours ou moins. La convention collective entre en vigueur le 1er janvier 2021 et est conclue pour une durée indéterminée. Elle peut être dénoncée par une des parties, moyennant un préavis de 3 mois, adressé par lettre recommandée au président de la commission paritaire auxiliaire pour employés.",,"

Les trois différences principales sont: la couverture des employés, les conditions de travail et les salaires."
200-2021-013465,2000000,Pouvoir d'achat,,2021-11-24T11:00:00.000+00:00,Concluded on industry level,New,Sector not specified,"['Salaire', 'Salaire', 'Salaire', 'Salaire', 'Fin au contrat de travail et chômage', ""Fonctionnement au sein du comité/de l'entreprise"", ""Fonctionnement au sein du comité/de l'entreprise"", 'Primes et indemnités pour le travailleur actif', 'Primes et indemnités pour le travailleur actif']","

Cette convention collective de travail s'applique aux employeurs et employés des entreprises ressortissant à la commission paritaire auxiliaire pour employés. Elle prévoit une augmentation des salaires mensuels bruts effectifs de 0,4% à partir du 1er décembre 2021, ainsi que des avantages en pouvoir d'achat équivalents. Les augmentations salariales annuelles découlant automatiquement de l'application des barèmes minimums ne sont pas imputées sur l'augmentation des salaires mensuels effectifs. Les organisations syndicales représentées s'engagent à ne pas poser de revendications supplémentaires au niveau de la commission paritaire et des entreprises pendant la durée de la présente convention. La présente convention collective de travail est conclue pour une durée indéterminée et entre en vigueur le 1er janvier 2021. Elle peut être résiliée par chacune des parties moyennant le respect d'un délai de préavis de 3 mois.",,"

Les différences entre les quatre sont la portée, les conditions de travail, les salaires et les avantages sociaux."
200-2021-013467,2000000,Modification de la CCT relative au FSE,2023-12-31T11:00:00.000+00:00,2021-11-24T11:00:00.000+00:00,Concluded on industry level,New,Sector not specified,"['Salaire', 'Salaire', ""Mesures pour l'emploi et groupes cibles"", 'Fonds sociaux', 'Fonds sociaux']","

Cette convention collective de travail du 18 novembre 2021 modifie la convention collective de travail du 1er avril 2015 conclue au sein de la commission paritaire auxiliaire pour employés portant l'institution d'un fonds de securite d'existence et en fixant ses statuts. Elle s'applique aux employeurs et employés des entreprises relevant de la compétence de la commission paritaire auxiliaire pour employés. Elle complète l'article 12bis de la convention collective de travail de 2015 en fixant la cotisation patronale au fonds social à 0,23% des salaires des employés. Elle est conclue pour une durée déterminée, produisant ses effets le 1er avril 2022 et prenant fin le 31 décembre 2023.",,"

Les différences sont : aucunes."
200-2021-013468,2000000,Formation 2022-2023,2023-12-31T11:00:00.000+00:00,2021-11-24T11:00:00.000+00:00,Concluded on industry level,New,Sector not specified,"['Salaire', 'Temps de travail', 'Recrutement et formation', ""Mesures pour l'emploi et groupes cibles"", 'Fonds sociaux', ""Fonctionnement au sein du comité/de l'entreprise"", 'Primes et indemnités pour le travailleur actif']","io collective de travail prend effet le 1er janvier 2022 et se termine le 31 décembre 2023. cette convention collective de travail entre en vigueur le 24 novembre 2021 et elle a été enregistrée le 13 décembre 2021 sous le numéro 168829/co/200.

Cette convention collective de travail s'applique aux employeurs et employés des entreprises relevant de la compétence de la commission paritaire auxiliaire pour employés. Elle est conclue en exécution de l'accord sectoriel 2021-2022 de la commission paritaire auxiliaire pour employés et a pour objectif d'augmenter le nombre de jours de formation jusqu'à 6 jours en moyenne par équivalent temps plein sur 2 ans en 2022-2023. Les entreprises occupant 20 travailleurs ou plus proposent 6 jours de formation en moyenne par équivalent temps plein pour la période 2022-2023. Les entreprises avec une délégation syndicale peuvent convenir un plan de formation propre à l'entreprise pour la période 2022-2023 et les entreprises sans délégation syndicale peuvent adhérer au plan supplétif de formation par enregistrement auprès du fonds social. Chaque employé se voit ouvrir un droit complémentaire à un jour de formation pour la période 2022-2023 et les parties s'engagent à stimuler la mise au travail des groupes à risque. La présente convention collective de travail prend effet le 1er janvier 2022 et se termine le 31 décembre 2023. Elle entre en vigueur le 24 novembre 2021 et elle a été enregistrée le 13 décembre 2021 sous le numéro 168829/co/200.",,"

Les deux sont vides."
200-2021-013471,2000000,Régime de chômage avec complément d'entreprise - Métier lourds,2023-06-30T10:00:00.000+00:00,2021-11-24T11:00:00.000+00:00,Concluded on industry level,New,"LA SELLERIE, DE LA FABRICATION DE COURROIES ET ...","[""Mesures pour l'emploi et groupes cibles"", 'Fin au contrat de travail et chômage', 'Fin au contrat de travail et chômage', 'Primes et indemnités pour le travailleur actif', 'Primes et indemnités pour le travailleur actif']","

Cette convention collective de travail s'applique aux employeurs et employés des entreprises relevant de la compétence de la commission paritaire auxiliaire pour employés. Elle est conclue en exécution de la convention collective de travail n° 151 du conseil national du travail du 15 juillet 2021 et de l'arrêté royal du 3 mai 2007 fixant le régime de chômage avec complément d'entreprise. Elle prévoit un complément d'entreprise pour les employés licenciés pour des raisons autres que le motif grave qui satisfont aux conditions d'âge et d'ancienneté. Elle abaisse la condition d'âge à 60 ans pour les employés licenciés qui remplissent les conditions prévues par la convention collective de travail n° 151 et la convention collective de travail n° 143 du 23 avril 2019. Elle est en vigueur du 1er juillet 2021 au 30 juin 2023.",,"

Les deux sont vides, aucune différence."
200-2021-013472,2000000,Régime de chômage avec complément d'entreprise - Carrière longue,2023-06-30T10:00:00.000+00:00,2021-11-24T11:00:00.000+00:00,Concluded on industry level,New,"LA SELLERIE, DE LA FABRICATION DE COURROIES ET ...","[""Mesures pour l'emploi et groupes cibles"", 'Fin au contrat de travail et chômage', 'Fin au contrat de travail et chômage', 'Primes et indemnités pour le travailleur actif']","

Cette convention collective de travail s'applique aux employeurs et employés des entreprises relevant de la compétence de la Commission Paritaire Auxiliaire pour Employés. Elle a été conclue en exécution de la convention collective de travail n° 152 du Conseil National du Travail du 15 juillet 2021 instituant, pour la période allant du 1er juillet 2021 au 30 juin 2023, un régime de complément d'entreprise pour certains travailleurs âgés licenciés, ayant une carrière longue. Elle prévoit l'octroi d'une indemnité complémentaire aux employés licenciés pour des raisons autres que le motif grave qui satisfont aux conditions prévues, notamment une carrière professionnelle d'au moins 40 ans et au moins 10 ans de service chez le dernier employeur. La présente convention collective de travail entre en vigueur le 1er juillet 2021 et cesse d'être en vigueur le 30 juin 2023.",,"

Les deux sont vides."
200-2021-013473,2000000,Crédit-temps 2021-2022,2022-12-31T11:00:00.000+00:00,2021-11-24T11:00:00.000+00:00,Concluded on industry level,New,"LA SELLERIE, DE LA FABRICATION DE COURROIES ET ...","['Salaire', 'Recrutement et formation', 'Fonds sociaux', ""Fonctionnement au sein du comité/de l'entreprise"", 'Primes et indemnités pour le travailleur actif', 'Primes et indemnités pour le travailleur actif']","

Cette convention collective de travail concerne les employeurs et les employés des entreprises relevant de la compétence de la commission paritaire auxiliaire pour employés. Elle instaure un système de crédit-temps, de diminution de carrière et d'emplois de fin de carrière. Elle prévoit un droit de 24 mois au crédit-temps à temps plein ou à mi-temps avec motif pour les employés ayant une ancienneté de 5 ans au moins dans l'entreprise et un droit de 36 mois au crédit-temps à temps plein ou à mi-temps avec motif pour ceux ayant une ancienneté de 5 ans au moins dans l'entreprise. Elle prévoit également un droit de 51 mois au crédit-temps à temps plein ou à mi-temps avec motif pour ces mêmes employés. Elle prévoit également l'âge d'accès au droit à la diminution à mi-temps dans le cadre des emplois de fin de carrière pour les travailleurs plus âgés à 55 ans et l'âge d'accès au droit de 1/5ème dans le cadre des emplois de fin de carrière pour les travailleurs plus âgés à 55 ans. Elle est en vigueur à partir du 1er janvier 2021 et jusqu'au 31 décembre 2022.",,"

Les deux sont vides."
